uf,season,week,P25,P50,P75,P90,P95
PR,2023-2024,9,926,1431.5,1583.3500000000001,3540.2000000000003,5206.25
PR,2023-2024,10,916,1456.5,1588,3931.9000000000015,5331.799999999999
PR,2023-2024,11,993.75,1569,1704,3977.3,5374.399999999999
PR,2023-2024,12,1089,1725.5,1870.45,4281.100000000001,5601.299999999999
PR,2023-2024,13,1230.75,1923.5,2091.3500000000004,4742.200000000003,6366.8499999999985
PR,2023-2024,14,1386.5,2191.5,2380.45,5563,7679.699999999999
PR,2023-2024,15,1655.5,2546,2743.8,6580.500000000001,9093.149999999992
PR,2023-2024,16,1819.75,2907,3150.3500000000004,7340.4000000000005,10258.749999999996
PR,2023-2024,17,2068.75,3303.5,3604.9,8454.400000000001,11839.15
PR,2023-2024,18,2413.75,3772.5,4095,10047.900000000005,13598.9
PR,2023-2024,19,2661.5,4270.5,4681.9000000000005,11473.500000000013,15545.849999999997
PR,2023-2024,20,3060.75,4828.5,5210.8,12060.700000000003,16067.599999999995
PR,2023-2024,21,3214.5,5186.5,5675,13916.600000000004,19469.04999999999
PR,2023-2024,22,3494.75,5558.5,6065.950000000001,15275.3,20539.1
PR,2023-2024,23,3875.25,6137,6686.9,16477.700000000023,22493.499999999993
PR,2023-2024,24,4112.75,6496.5,7014.950000000001,16538.30000000001,23509.449999999997
PR,2023-2024,25,4130.25,6860,7543.6,17969.600000000002,24559.149999999994
PR,2023-2024,26,4348.25,6835,7289.9000000000005,18160,24874.699999999986
PR,2023-2024,27,4314,6725,7398.200000000001,17795.700000000004,24588.999999999996
PR,2023-2024,28,3989.75,6492.5,7044.9,17382.400000000012,24031.049999999996
PR,2023-2024,29,3836.25,6136,6721.450000000001,16832.5,23581.749999999996
PR,2023-2024,30,3408.75,5478.5,5930,13777,19038.799999999996
PR,2023-2024,31,2940.5,4720,5153.9000000000005,12310.100000000002,16851.299999999996
PR,2023-2024,32,2508,3915,4311.45,10454.1,14271.199999999999
PR,2023-2024,33,2060.5,3271,3560.45,8364.7,11753.249999999998
PR,2023-2024,34,1697.75,2617,2821.6000000000004,6789.9000000000015,9760.099999999999
PR,2023-2024,35,1297,2091.5,2300.45,5255.100000000002,7511.5999999999985
PR,2023-2024,36,1123.25,1726.5,1906.45,4504.500000000004,6219.05
PR,2023-2024,37,920,1479,1591,3660.1000000000017,4949.949999999999
PR,2023-2024,38,787,1245.5,1361.8000000000002,3221.700000000004,4423.25
PR,2023-2024,39,672.75,1057.5,1151.45,2687.700000000001,3872.3499999999995
PR,2023-2024,40,591,912,993.45,2356.900000000003,3347.9499999999994
PR,2023-2024,41,514.75,813,883,2100.0000000000014,2891.5499999999984
PR,2023-2024,42,466,745,815,1947.800000000001,2709.8999999999987
PR,2023-2024,43,434,715.5,785.9000000000001,1833.0000000000014,2436.1499999999996
PR,2023-2024,44,444.75,681,741,1740.4000000000005,2381.0999999999995
PR,2023-2024,45,440.75,685,753,1757.0000000000014,2417.0499999999997
PR,2023-2024,46,416,684,755,1779.3000000000004,2571.15
PR,2023-2024,47,454.75,709.5,783.45,1830.6000000000008,2634
PR,2023-2024,48,451,724,796.45,1970.2000000000003,2761.3999999999996
PR,2023-2024,49,488,779.5,841.45,2036.4000000000005,2834.1
PR,2023-2024,50,501.75,810,888.9000000000001,2085.4000000000005,2934.3999999999996
PR,2023-2024,51,536,869,942,2249.100000000003,3137.3999999999987
PR,2023-2024,52,560.5,903,979.9000000000001,2364.1000000000004,3120.749999999999
RJ,2023-2024,1,121.75,223,250,725.1000000000001,1238.2999999999997
RJ,2023-2024,2,123,221,245,762.2000000000003,1251.1
RJ,2023-2024,3,130,224.5,249,791,1229.1499999999999
RJ,2023-2024,4,133,238,265,815.1000000000001,1322.2499999999998
RJ,2023-2024,5,144.75,250.5,277.45000000000005,880,1375.999999999999
RJ,2023-2024,6,145.75,265,299,1003.1000000000001,1511
RJ,2023-2024,7,162,287,319,988.2000000000003,1607.1999999999998
RJ,2023-2024,8,167,303,338.45000000000005,1056.4000000000005,1627.05
RJ,2023-2024,9,197.75,360,395.45000000000005,1232.2000000000003,1985.0499999999981
RJ,2023-2024,10,220.75,389,435,1378.6000000000008,2081.45
RJ,2023-2024,11,241,413,458,1529.1000000000001,2321.8499999999967
RJ,2023-2024,12,262.75,469.5,527,1629.7000000000037,2394.1
RJ,2023-2024,13,287.75,521,588.45,1914.5000000000048,2928.2
RJ,2023-2024,14,327.75,580.5,663,2003.3000000000004,3249.749999999999
RJ,2023-2024,15,357.75,635.5,715.9000000000001,2112.4000000000005,3126.399999999998
RJ,2023-2024,16,381,667.5,739,2157.3,3254.899999999994
RJ,2023-2024,17,404,725.5,809.9000000000001,2410,3661.2
RJ,2023-2024,18,413,723,806.9000000000001,2595.500000000001,3905.449999999999
RJ,2023-2024,19,450,798.5,878.45,2627.1000000000013,4045.0999999999995
RJ,2023-2024,20,482,820,905.45,2851.700000000001,4130.3499999999995
RJ,2023-2024,21,496.75,884,988,3022.000000000001,4468.549999999999
RJ,2023-2024,22,558,960.5,1060.3500000000001,3178.500000000001,5084.099999999998
RJ,2023-2024,23,585,1003.5,1123.45,3211.0000000000014,5277.999999999996
RJ,2023-2024,24,600,1065.5,1180.9,3785.5000000000005,5555.3499999999985
RJ,2023-2024,25,636,1151.5,1271,3878.7000000000007,6235.25
RJ,2023-2024,26,668.75,1168,1286.9,4011.1000000000004,6112.399999999998
RJ,2023-2024,27,687,1197.5,1346.9,4081.2,6280.999999999998
RJ,2023-2024,28,715.75,1216,1348.45,4229.800000000003,6713.5999999999995
RJ,2023-2024,29,679.75,1197,1333.9,4093.100000000004,6347.899999999996
RJ,2023-2024,30,680.75,1168.5,1305.45,3957.800000000005,6335.349999999997
RJ,2023-2024,31,630.75,1165.5,1276,3919.2000000000007,6162.749999999999
RJ,2023-2024,32,595.75,1069.5,1194,3573.2,5547.949999999999
RJ,2023-2024,33,539.5,948.5,1051.3500000000001,3417.1,5242.5999999999985
RJ,2023-2024,34,495,873.5,986,2975.700000000001,4570.3499999999995
RJ,2023-2024,35,435,747,843.3500000000001,2793.2,4456.2
RJ,2023-2024,36,371,674,744.45,2363.500000000002,3608.6999999999957
RJ,2023-2024,37,328,583.5,645.45,2161.600000000001,3649.2999999999993
RJ,2023-2024,38,292.75,519,578,1747.400000000002,2842.25
RJ,2023-2024,39,265,449,502,1635.5000000000007,2644.899999999999
RJ,2023-2024,40,227.75,406,464.45000000000005,1448.5000000000007,2249.449999999999
RJ,2023-2024,41,207,363.5,400,1274.3000000000004,1830.2999999999997
RJ,2023-2024,42,176.75,328,368,1170,1879.2499999999998
RJ,2023-2024,43,166,297,331,1051.5000000000007,1668.4999999999995
RJ,2023-2024,44,150,271,300,945.9000000000012,1605.7499999999993
RJ,2023-2024,45,139,258,291,890,1393.1
RJ,2023-2024,46,138.75,247,277,859.2000000000016,1397.1499999999999
RJ,2023-2024,47,134,237,264,793.1000000000001,1273.1499999999999
RJ,2023-2024,48,131,225.5,251,748.2000000000003,1268
RJ,2023-2024,49,125,215,245,783.1000000000001,1257.6999999999994
RJ,2023-2024,50,124,215,241.45000000000005,749.1000000000001,1140.5499999999995
RJ,2023-2024,51,125,215,240,742.4000000000005,1090.1499999999999
RJ,2023-2024,52,124,214,239.45000000000005,767.1000000000001,1147.1
RN,2023-2024,1,95,167,186.45000000000005,500.10000000000014,711.0999999999999
RN,2023-2024,2,94,161,178.45000000000005,493.10000000000014,719.4999999999995
RN,2023-2024,3,82,146,163,475.10000000000014,660.0999999999999
RN,2023-2024,4,77,138,153,437.10000000000014,632.0999999999999
RN,2023-2024,5,73.75,131,146,448.10000000000014,624
RN,2023-2024,6,70,129,145,409.10000000000014,587.1999999999998
RN,2023-2024,7,71,127,141,403,615.05
RN,2023-2024,8,66,123,138,396,575.05
RN,2023-2024,9,65.75,117,131,390.2000000000003,554.0999999999999
RN,2023-2024,10,68,119.5,133,385,574.1499999999999
RN,2023-2024,11,74,133,148,416.2000000000003,629.05
RN,2023-2024,12,80,148,163,442.10000000000014,658.0999999999999
